,acronyms,variable,density,role,structure,color
127,DMH,BL2observer,5636.05976451071,observer,Hypothalamus,#f28e2b
129,MPO,BL2observer,4975.60502449196,observer,Hypothalamus,#f28e2b
132,PS,BL2observer,1706.11375942981,observer,Hypothalamus,#f28e2b
134,PVp,BL2observer,490.143242093324,observer,Hypothalamus,#f28e2b
141,AHN,BL2observer,3476.55171949569,observer,Hypothalamus,#f28e2b
144,SUM,BL2observer,2691.47403156629,observer,Hypothalamus,#f28e2b
145,TM,BL2observer,977.09923664122,observer,Hypothalamus,#f28e2b
147,PMd,BL2observer,2128.32806283789,observer,Hypothalamus,#f28e2b
148,PMv,BL2observer,638.358506697062,observer,Hypothalamus,#f28e2b
149,PVHd,BL2observer,1080.33760550172,observer,Hypothalamus,#f28e2b
150,VMH,BL2observer,1030.97197606471,observer,Hypothalamus,#f28e2b
151,PH,BL2observer,3810.51372917078,observer,Hypothalamus,#f28e2b
152,LHA,BL2observer,9362.08373312116,observer,Hypothalamus,#f28e2b
153,LPO,BL2observer,12295.8590765063,observer,Hypothalamus,#f28e2b
154,PST,BL2observer,2366.19718309859,observer,Hypothalamus,#f28e2b
155,PSTN,BL2observer,2450.76352457647,observer,Hypothalamus,#f28e2b
159,TU,BL2observer,1820.93104404699,observer,Hypothalamus,#f28e2b
160,ZI,BL2observer,3675.74458893844,observer,Hypothalamus,#f28e2b
162,SCs,BL2observer,4042.26753081089,observer,Midbrain,#ff9da7
163,IC,BL2observer,6590.17063611293,observer,Midbrain,#ff9da7
170,VTA,BL2observer,13104.5105453144,observer,Midbrain,#ff9da7
174,SCm,BL2observer,5721.27682617107,observer,Midbrain,#ff9da7
175,PAG,BL2observer,2156.05807965974,observer,Midbrain,#ff9da7
176,PRT,BL2observer,3952.93076100189,observer,Midbrain,#ff9da7
178,CUN,BL2observer,1562.19220788118,observer,Midbrain,#ff9da7
197,DR,BL2observer,2163.5234928948,observer,Midbrain,#ff9da7
200,MOs,BL16observer,838.402403234984,observer,Isocortex,#e15759
203,VISC,BL16observer,1116.23114992365,observer,Isocortex,#e15759
204,AUDd,BL16observer,3431.81245273506,observer,Isocortex,#e15759
206,AUDpo,BL16observer,2226.34035287421,observer,Isocortex,#e15759
207,AUDv,BL16observer,1465.26956227818,observer,Isocortex,#e15759
208,VISal,BL16observer,9054.16558706245,observer,Isocortex,#e15759
209,VISam,BL16observer,4436.63882344541,observer,Isocortex,#e15759
210,VISl,BL16observer,10980.2645864012,observer,Isocortex,#e15759
211,VISp,BL16observer,8712.51126788579,observer,Isocortex,#e15759
212,VISpl,BL16observer,3393.63668875055,observer,Isocortex,#e15759
215,ACA,BL16observer,3049.1435570067,observer,Isocortex,#e15759
216,PL,BL16observer,1787.30639613947,observer,Isocortex,#e15759
218,ORB,BL16observer,2732.28675672016,observer,Isocortex,#e15759
219,AI,BL16observer,2270.44240880584,observer,Isocortex,#e15759
220,RSP,BL16observer,2755.72794847862,observer,Isocortex,#e15759
222,VISrl,BL16observer,6323.36413350933,observer,Isocortex,#e15759
223,PERI,BL16observer,3248.88468297959,observer,Isocortex,#e15759
225,MOB,BL16observer,8153.80207599167,observer,Olfactory areas,#76b7b2
226,AOB,BL16observer,4936.86666335742,observer,Olfactory areas,#76b7b2
227,AON,BL16observer,4849.68318007245,observer,Olfactory areas,#76b7b2
228,TT,BL16observer,3336.47795645453,observer,Olfactory areas,#76b7b2
229,DP,BL16observer,735.7744921929,observer,Olfactory areas,#76b7b2
230,PIR,BL16observer,4903.76645104969,observer,Olfactory areas,#76b7b2
231,NLOT,BL16observer,2979.76279705483,observer,Olfactory areas,#76b7b2
232,COA,BL16observer,1850.10460876323,observer,Olfactory areas,#76b7b2
233,PAA,BL16observer,643.287745365269,observer,Olfactory areas,#76b7b2
234,TR,BL16observer,608.065497593626,observer,Olfactory areas,#76b7b2
236,DG,BL16observer,1708.95443874094,observer,Hippocampal formation,#edc948
239,ENT,BL16observer,2313.26915377712,observer,Hippocampal formation,#edc948
240,PAR,BL16observer,2395.78174614735,observer,Hippocampal formation,#edc948
241,POST,BL16observer,3237.13369756626,observer,Hippocampal formation,#edc948
242,PRE,BL16observer,6167.4010845899,observer,Hippocampal formation,#edc948
243,SUB,BL16observer,4964.88039166256,observer,Hippocampal formation,#edc948
247,CLA,BL16observer,5294.3712110816,observer,Cortical subplate,#59a14f
248,EP,BL16observer,2995.6249130965,observer,Cortical subplate,#59a14f
249,LA,BL16observer,1132.27829202747,observer,Cortical subplate,#59a14f
250,BLA,BL16observer,1286.15144149036,observer,Cortical subplate,#59a14f
251,BMA,BL16observer,1429.11836441197,observer,Cortical subplate,#59a14f
254,ACB,BL16observer,961.107728329359,observer,Striatum,#9c755f
258,LS,BL16observer,2286.20619874664,observer,Striatum,#9c755f
262,BA,BL16observer,8314.45702864748,observer,Striatum,#9c755f
264,IA,BL16observer,3042.86119784276,observer,Striatum,#9c755f
265,MEA,BL16observer,1932.54174521467,observer,Striatum,#9c755f
270,MSC,BL16observer,1774.23097148696,observer,Pallidum,#bab0ac
273,BAC,BL16observer,2445.85987261147,observer,Pallidum,#bab0ac
278,SPF,BL16observer,2888.15137278564,observer,Thalamus,#b07aa1
279,SPA,BL16observer,73.6093684650767,observer,Thalamus,#b07aa1
285,POL,BL16observer,522.427762097193,observer,Thalamus,#b07aa1
290,AM,BL16observer,2008.26994979791,observer,Thalamus,#b07aa1
292,IAM,BL16observer,2020.03034901368,observer,Thalamus,#b07aa1
293,IAD,BL16observer,1130.17629572947,observer,Thalamus,#b07aa1
295,IMD,BL16observer,434.646415456928,observer,Thalamus,#b07aa1
296,MD,BL16observer,1171.89370953442,observer,Thalamus,#b07aa1
298,PR,BL16observer,237.563623070217,observer,Thalamus,#b07aa1
299,PVT,BL16observer,2361.17514445585,observer,Thalamus,#b07aa1
300,PT,BL16observer,6849.31738450484,observer,Thalamus,#b07aa1
301,RE,BL16observer,908.831132003462,observer,Thalamus,#b07aa1
303,RH,BL16observer,494.609293006398,observer,Thalamus,#b07aa1
304,CM,BL16observer,556.60394778145,observer,Thalamus,#b07aa1
315,LH,BL16observer,1638.14174369158,observer,Thalamus,#b07aa1
321,ADP,BL16observer,855.691238078253,observer,Hypothalamus,#f28e2b
324,AVPV,BL16observer,203.927380511307,observer,Hypothalamus,#f28e2b
325,DMH,BL16observer,4728.88576131892,observer,Hypothalamus,#f28e2b
327,MPO,BL16observer,2858.72253746544,observer,Hypothalamus,#f28e2b
330,PS,BL16observer,622.020641458785,observer,Hypothalamus,#f28e2b
332,PVp,BL16observer,626.294142674803,observer,Hypothalamus,#f28e2b
339,AHN,BL16observer,2078.17664124501,observer,Hypothalamus,#f28e2b
342,SUM,BL16observer,1745.20153141707,observer,Hypothalamus,#f28e2b
343,TM,BL16observer,494.435758300376,observer,Hypothalamus,#f28e2b
345,PMd,BL16observer,822.605324900536,observer,Hypothalamus,#f28e2b
346,PMv,BL16observer,465.089769165002,observer,Hypothalamus,#f28e2b
347,PVHd,BL16observer,693.550067729502,observer,Hypothalamus,#f28e2b
348,VMH,BL16observer,320.072999105057,observer,Hypothalamus,#f28e2b
349,PH,BL16observer,1982.85231413599,observer,Hypothalamus,#f28e2b
350,LHA,BL16observer,5312.78930986872,observer,Hypothalamus,#f28e2b
351,LPO,BL16observer,3325.98172408892,observer,Hypothalamus,#f28e2b
352,PST,BL16observer,4394.3661971831,observer,Hypothalamus,#f28e2b
353,PSTN,BL16observer,962.341698132123,observer,Hypothalamus,#f28e2b
357,TU,BL16observer,515.357842654809,observer,Hypothalamus,#f28e2b
358,ZI,BL16observer,1629.50592536594,observer,Hypothalamus,#f28e2b
360,SCs,BL16observer,3348.57331471834,observer,Midbrain,#ff9da7
361,IC,BL16observer,2895.12865563048,observer,Midbrain,#ff9da7
368,VTA,BL16observer,5367.66674878697,observer,Midbrain,#ff9da7
372,SCm,BL16observer,1999.88121897286,observer,Midbrain,#ff9da7
373,PAG,BL16observer,832.750729976751,observer,Midbrain,#ff9da7
374,PRT,BL16observer,1307.61001881294,observer,Midbrain,#ff9da7
376,CUN,BL16observer,749.852259782969,observer,Midbrain,#ff9da7
395,DR,BL16observer,576.186413251356,observer,Midbrain,#ff9da7
398,MOs,BL10observer,679.876639218461,observer,Isocortex,#e15759
401,VISC,BL10observer,259.040984159497,observer,Isocortex,#e15759
402,AUDd,BL10observer,1742.37459037056,observer,Isocortex,#e15759
404,AUDpo,BL10observer,1433.71656232214,observer,Isocortex,#e15759
405,AUDv,BL10observer,1213.79077235086,observer,Isocortex,#e15759
406,VISal,BL10observer,5236.90413746469,observer,Isocortex,#e15759
407,VISam,BL10observer,1457.5569358178,observer,Isocortex,#e15759
408,VISl,BL10observer,7467.73206580315,observer,Isocortex,#e15759
409,VISp,BL10observer,3790.58025908731,observer,Isocortex,#e15759
410,VISpl,BL10observer,2660.44357698346,observer,Isocortex,#e15759
413,ACA,BL10observer,385.885335260685,observer,Isocortex,#e15759
414,PL,BL10observer,320.196371450303,observer,Isocortex,#e15759
416,ORB,BL10observer,1039.87125441974,observer,Isocortex,#e15759
417,AI,BL10observer,1059.35129410451,observer,Isocortex,#e15759
418,RSP,BL10observer,917.729758982056,observer,Isocortex,#e15759
420,VISrl,BL10observer,3283.877050726,observer,Isocortex,#e15759
421,PERI,BL10observer,1475.19264566716,observer,Isocortex,#e15759
423,MOB,BL10observer,2248.85909742337,observer,Olfactory areas,#76b7b2
424,AOB,BL10observer,912.217502606032,observer,Olfactory areas,#76b7b2
425,AON,BL10observer,3002.70175311065,observer,Olfactory areas,#76b7b2
426,TT,BL10observer,2592.7975657072,observer,Olfactory areas,#76b7b2
427,DP,BL10observer,403.26101975957,observer,Olfactory areas,#76b7b2
428,PIR,BL10observer,3743.47896555303,observer,Olfactory areas,#76b7b2
429,NLOT,BL10observer,2579.07499669329,observer,Olfactory areas,#76b7b2
430,COA,BL10observer,980.716121704827,observer,Olfactory areas,#76b7b2
431,PAA,BL10observer,479.791810082409,observer,Olfactory areas,#76b7b2
432,TR,BL10observer,778.005199977871,observer,Olfactory areas,#76b7b2
434,DG,BL10observer,1153.80557576756,observer,Hippocampal formation,#edc948
437,ENT,BL10observer,1591.80650884323,observer,Hippocampal formation,#edc948
438,PAR,BL10observer,1525.09686252804,observer,Hippocampal formation,#edc948
439,POST,BL10observer,1005.64410529643,observer,Hippocampal formation,#edc948
440,PRE,BL10observer,3388.63317412922,observer,Hippocampal formation,#edc948
441,SUB,BL10observer,2730.81158535776,observer,Hippocampal formation,#edc948
445,CLA,BL10observer,2479.79916209911,observer,Cortical subplate,#59a14f
446,EP,BL10observer,1637.81523746084,observer,Cortical subplate,#59a14f
447,LA,BL10observer,417.693981145759,observer,Cortical subplate,#59a14f
448,BLA,BL10observer,1281.27965572714,observer,Cortical subplate,#59a14f
449,BMA,BL10observer,794.783842349216,observer,Cortical subplate,#59a14f
452,ACB,BL10observer,1066.17506063777,observer,Striatum,#9c755f
456,LS,BL10observer,1175.48125568144,observer,Striatum,#9c755f
460,BA,BL10observer,5180.54630246497,observer,Striatum,#9c755f
462,IA,BL10observer,1471.47317627023,observer,Striatum,#9c755f
463,MEA,BL10observer,1039.39655977752,observer,Striatum,#9c755f
468,MSC,BL10observer,1294.83407128501,observer,Pallidum,#bab0ac
471,BAC,BL10observer,3010.28907398334,observer,Pallidum,#bab0ac
476,SPF,BL10observer,1746.13163225722,observer,Thalamus,#b07aa1
477,SPA,BL10observer,354.663320786279,observer,Thalamus,#b07aa1
483,POL,BL10observer,693.971206367913,observer,Thalamus,#b07aa1
488,AM,BL10observer,1230.00943473146,observer,Thalamus,#b07aa1
490,IAM,BL10observer,2466.76783004555,observer,Thalamus,#b07aa1
491,IAD,BL10observer,926.744562498162,observer,Thalamus,#b07aa1
493,IMD,BL10observer,212.269179641755,observer,Thalamus,#b07aa1
494,MD,BL10observer,553.394251724587,observer,Thalamus,#b07aa1
496,PR,BL10observer,151.176851044684,observer,Thalamus,#b07aa1
497,PVT,BL10observer,1070.42539579378,observer,Thalamus,#b07aa1
498,PT,BL10observer,4252.41979796272,observer,Thalamus,#b07aa1
499,RE,BL10observer,1047.04047465837,observer,Thalamus,#b07aa1
501,RH,BL10observer,430.493273542606,observer,Thalamus,#b07aa1
502,CM,BL10observer,740.956847683587,observer,Thalamus,#b07aa1
513,LH,BL10observer,906.644487074583,observer,Thalamus,#b07aa1
519,ADP,BL10observer,496.300918085387,observer,Hypothalamus,#f28e2b
522,AVPV,BL10observer,184.957391626534,observer,Hypothalamus,#f28e2b
523,DMH,BL10observer,4410.40978147499,observer,Hypothalamus,#f28e2b
525,MPO,BL10observer,2542.12134439109,observer,Hypothalamus,#f28e2b
528,PS,BL10observer,675.336696440966,observer,Hypothalamus,#f28e2b
530,PVp,BL10observer,592.256417529434,observer,Hypothalamus,#f28e2b
537,AHN,BL10observer,2284.96038664252,observer,Hypothalamus,#f28e2b
540,SUM,BL10observer,2485.19317513237,observer,Hypothalamus,#f28e2b
541,TM,BL10observer,565.069438057573,observer,Hypothalamus,#f28e2b
543,PMd,BL10observer,1632.1534224217,observer,Hypothalamus,#f28e2b
544,PMv,BL10observer,620.119692220003,observer,Hypothalamus,#f28e2b
545,PVHd,BL10observer,833.593831405651,observer,Hypothalamus,#f28e2b
546,VMH,BL10observer,235.843262498463,observer,Hypothalamus,#f28e2b
547,PH,BL10observer,4041.37622370149,observer,Hypothalamus,#f28e2b
548,LHA,BL10observer,4687.33238164331,observer,Hypothalamus,#f28e2b
549,LPO,BL10observer,3069.14915852221,observer,Hypothalamus,#f28e2b
550,PST,BL10observer,1352.11267605634,observer,Hypothalamus,#f28e2b
551,PSTN,BL10observer,1218.96615096736,observer,Hypothalamus,#f28e2b
555,TU,BL10observer,395.107679368687,observer,Hypothalamus,#f28e2b
556,ZI,BL10observer,1254.24416353431,observer,Hypothalamus,#f28e2b
558,SCs,BL10observer,1283.76250607744,observer,Midbrain,#ff9da7
559,IC,BL10observer,1532.48810171373,observer,Midbrain,#ff9da7
566,VTA,BL10observer,5573.32447862555,observer,Midbrain,#ff9da7
570,SCm,BL10observer,1447.17213816332,observer,Midbrain,#ff9da7
571,PAG,BL10observer,693.991606224447,observer,Midbrain,#ff9da7
572,PRT,BL10observer,1958.3164262791,observer,Midbrain,#ff9da7
574,CUN,BL10observer,674.209268664511,observer,Midbrain,#ff9da7
593,DR,BL10observer,768.248551001808,observer,Midbrain,#ff9da7
596,MOs,BL5observer,1320.85304483139,observer,Isocortex,#e15759
599,VISC,BL5observer,2013.45492233064,observer,Isocortex,#e15759
600,AUDd,BL5observer,1532.14015628939,observer,Isocortex,#e15759
602,AUDpo,BL5observer,1643.52874217416,observer,Isocortex,#e15759
603,AUDv,BL5observer,1025.18167990536,observer,Isocortex,#e15759
604,VISal,BL5observer,3550.32008948602,observer,Isocortex,#e15759
605,VISam,BL5observer,2008.13878774898,observer,Isocortex,#e15759
606,VISl,BL5observer,3715.67423736978,observer,Isocortex,#e15759
607,VISp,BL5observer,4684.66424874413,observer,Isocortex,#e15759
608,VISpl,BL5observer,2897.85848936518,observer,Isocortex,#e15759
611,ACA,BL5observer,1056.14321165236,observer,Isocortex,#e15759
612,PL,BL5observer,959.023361923281,observer,Isocortex,#e15759
614,ORB,BL5observer,857.998773451022,observer,Isocortex,#e15759
615,AI,BL5observer,2296.36070114381,observer,Isocortex,#e15759
616,RSP,BL5observer,1809.16613423513,observer,Isocortex,#e15759
618,VISrl,BL5observer,2983.36790495946,observer,Isocortex,#e15759
619,PERI,BL5observer,5372.98904961471,observer,Isocortex,#e15759
621,MOB,BL5observer,1585.93117678157,observer,Olfactory areas,#76b7b2
622,AOB,BL5observer,4277.89163162411,observer,Olfactory areas,#76b7b2
623,AON,BL5observer,2367.26880626128,observer,Olfactory areas,#76b7b2
624,TT,BL5observer,1636.09685964412,observer,Olfactory areas,#76b7b2
625,DP,BL5observer,208.705264612409,observer,Olfactory areas,#76b7b2
626,PIR,BL5observer,3184.82202809167,observer,Olfactory areas,#76b7b2
627,NLOT,BL5observer,1416.51602663023,observer,Olfactory areas,#76b7b2
628,COA,BL5observer,1027.77213222548,observer,Olfactory areas,#76b7b2
629,PAA,BL5observer,545.495784074587,observer,Olfactory areas,#76b7b2
630,TR,BL5observer,958.566133761131,observer,Olfactory areas,#76b7b2
632,DG,BL5observer,2099.39501310694,observer,Hippocampal formation,#edc948
635,ENT,BL5observer,2451.09732387475,observer,Hippocampal formation,#edc948
636,PAR,BL5observer,2129.16945844379,observer,Hippocampal formation,#edc948
637,POST,BL5observer,4324.26965277463,observer,Hippocampal formation,#edc948
638,PRE,BL5observer,4637.19369574882,observer,Hippocampal formation,#edc948
639,SUB,BL5observer,4301.70755330298,observer,Hippocampal formation,#edc948
643,CLA,BL5observer,3567.81104447009,observer,Cortical subplate,#59a14f
644,EP,BL5observer,3623.30922131216,observer,Cortical subplate,#59a14f
645,LA,BL5observer,1197.79891652093,observer,Cortical subplate,#59a14f
646,BLA,BL5observer,1893.17594758771,observer,Cortical subplate,#59a14f
647,BMA,BL5observer,1340.80904859539,observer,Cortical subplate,#59a14f
650,ACB,BL5observer,1176.4096387974,observer,Striatum,#9c755f
654,LS,BL5observer,912.138917708733,observer,Striatum,#9c755f
658,BA,BL5observer,11064.623584277,observer,Striatum,#9c755f
660,IA,BL5observer,3215.4413851831,observer,Striatum,#9c755f
661,MEA,BL5observer,2328.98414987318,observer,Striatum,#9c755f
666,MSC,BL5observer,2487.93117982619,observer,Pallidum,#bab0ac
669,BAC,BL5observer,2257.71680548751,observer,Pallidum,#bab0ac
674,SPF,BL5observer,7961.03616223434,observer,Thalamus,#b07aa1
675,SPA,BL5observer,374.738603094936,observer,Thalamus,#b07aa1
681,POL,BL5observer,2253.45706337446,observer,Thalamus,#b07aa1
686,AM,BL5observer,3153.29691449338,observer,Thalamus,#b07aa1
688,IAM,BL5observer,874.051593323228,observer,Thalamus,#b07aa1
689,IAD,BL5observer,2181.24025075787,observer,Thalamus,#b07aa1
691,IMD,BL5observer,96.0265336474608,observer,Thalamus,#b07aa1
692,MD,BL5observer,1614.06656753005,observer,Thalamus,#b07aa1
694,PR,BL5observer,280.757009082984,observer,Thalamus,#b07aa1
695,PVT,BL5observer,892.996049678596,observer,Thalamus,#b07aa1
696,PT,BL5observer,3578.84948645336,observer,Thalamus,#b07aa1
697,RE,BL5observer,433.474756508564,observer,Thalamus,#b07aa1
699,RH,BL5observer,155.710332983496,observer,Thalamus,#b07aa1
700,CM,BL5observer,141.809923001643,observer,Thalamus,#b07aa1
711,LH,BL5observer,3394.76543739858,observer,Thalamus,#b07aa1
717,ADP,BL5observer,667.439165701038,observer,Hypothalamus,#f28e2b
720,AVPV,BL5observer,251.352352723238,observer,Hypothalamus,#f28e2b
721,DMH,BL5observer,3580.44207642718,observer,Hypothalamus,#f28e2b
723,MPO,BL5observer,4475.87176875696,observer,Hypothalamus,#f28e2b
726,PS,BL5observer,764.196788077936,observer,Hypothalamus,#f28e2b
728,PVp,BL5observer,265.494256133884,observer,Hypothalamus,#f28e2b
735,AHN,BL5observer,3411.93179905897,observer,Hypothalamus,#f28e2b
738,SUM,BL5observer,2082.45436018997,observer,Hypothalamus,#f28e2b
739,TM,BL5observer,553.29715809804,observer,Hypothalamus,#f28e2b
741,PMd,BL5observer,1227.37937366112,observer,Hypothalamus,#f28e2b
742,PMv,BL5observer,155.029923055001,observer,Hypothalamus,#f28e2b
743,PVHd,BL5observer,720.225070334482,observer,Hypothalamus,#f28e2b
744,VMH,BL5observer,640.145998210115,observer,Hypothalamus,#f28e2b
745,PH,BL5observer,2286.82126526809,observer,Hypothalamus,#f28e2b
746,LHA,BL5observer,9251.55039666753,observer,Hypothalamus,#f28e2b
747,LPO,BL5observer,7942.54709015057,observer,Hypothalamus,#f28e2b
748,PST,BL5observer,4056.33802816901,observer,Hypothalamus,#f28e2b
749,PSTN,BL5observer,1603.90283022021,observer,Hypothalamus,#f28e2b
753,TU,BL5observer,1961.79552103931,observer,Hypothalamus,#f28e2b
754,ZI,BL5observer,2737.08444074502,observer,Hypothalamus,#f28e2b
756,SCs,BL5observer,6526.72051955716,observer,Midbrain,#ff9da7
757,IC,BL5observer,6574.30104200059,observer,Midbrain,#ff9da7
764,VTA,BL5observer,11767.7353013636,observer,Midbrain,#ff9da7
768,SCm,BL5observer,7680.91223828887,observer,Midbrain,#ff9da7
769,PAG,BL5observer,2046.1091129577,observer,Midbrain,#ff9da7
770,PRT,BL5observer,4425.68888560996,observer,Midbrain,#ff9da7
772,CUN,BL5observer,1868.05299805582,observer,Midbrain,#ff9da7
791,DR,BL5observer,1660.77260290097,observer,Midbrain,#ff9da7
794,MOs,BL18observer,708.247486284149,observer,Isocortex,#e15759
797,VISC,BL18observer,432.519946278433,observer,Isocortex,#e15759
798,AUDd,BL18observer,601.966221325938,observer,Isocortex,#e15759
800,AUDpo,BL18observer,877.131474103584,observer,Isocortex,#e15759
801,AUDv,BL18observer,1340.54419469326,observer,Isocortex,#e15759
802,VISal,BL18observer,652.792962455052,observer,Isocortex,#e15759
803,VISam,BL18observer,587.135003926606,observer,Isocortex,#e15759
804,VISl,BL18observer,1109.69952743969,observer,Isocortex,#e15759
805,VISp,BL18observer,624.585786170442,observer,Isocortex,#e15759
806,VISpl,BL18observer,791.38304127242,observer,Isocortex,#e15759
809,ACA,BL18observer,1123.47661381919,observer,Isocortex,#e15759
810,PL,BL18observer,916.748046377275,observer,Isocortex,#e15759
812,ORB,BL18observer,865.751774415941,observer,Isocortex,#e15759
813,AI,BL18observer,581.98347340706,observer,Isocortex,#e15759
814,RSP,BL18observer,968.865856992912,observer,Isocortex,#e15759
816,VISrl,BL18observer,742.221384122195,observer,Isocortex,#e15759
817,PERI,BL18observer,1745.57252940381,observer,Isocortex,#e15759
819,MOB,BL18observer,895.293197820352,observer,Olfactory areas,#76b7b2
820,AOB,BL18observer,2064.06228947872,observer,Olfactory areas,#76b7b2
821,AON,BL18observer,813.385187608282,observer,Olfactory areas,#76b7b2
822,TT,BL18observer,1125.60438802943,observer,Olfactory areas,#76b7b2
823,DP,BL18observer,357.275113997514,observer,Olfactory areas,#76b7b2
824,PIR,BL18observer,952.664025980376,observer,Olfactory areas,#76b7b2
825,NLOT,BL18observer,428.905251091225,observer,Olfactory areas,#76b7b2
826,COA,BL18observer,375.874230378386,observer,Olfactory areas,#76b7b2
827,PAA,BL18observer,224.615911089536,observer,Olfactory areas,#76b7b2
828,TR,BL18observer,473.972451181058,observer,Olfactory areas,#76b7b2
830,DG,BL18observer,2788.17512910139,observer,Hippocampal formation,#edc948
833,ENT,BL18observer,1069.96862546022,observer,Hippocampal formation,#edc948
834,PAR,BL18observer,1450.51999883474,observer,Hippocampal formation,#edc948
835,POST,BL18observer,2807.13414909468,observer,Hippocampal formation,#edc948
836,PRE,BL18observer,3781.16463474497,observer,Hippocampal formation,#edc948
837,SUB,BL18observer,3680.14222977006,observer,Hippocampal formation,#edc948
841,CLA,BL18observer,1069.41338865524,observer,Cortical subplate,#59a14f
842,EP,BL18observer,1050.48649802265,observer,Cortical subplate,#59a14f
843,LA,BL18observer,1711.72631489144,observer,Cortical subplate,#59a14f
844,BLA,BL18observer,975.331509796859,observer,Cortical subplate,#59a14f
845,BMA,BL18observer,572.144863036994,observer,Cortical subplate,#59a14f
